,Age,Season,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,height_cm,weight,weight_kg,draft_round,draft_pick,3PM_ratio,avg_height_cm,avg_weight,avg_BMI,Pts/Game,Ast/Game,FGA/Game,FGM/Game,ORB/Game,DRB/Game,REB/Game,MIN/Game,3PM/Game,3PA/Game,FTA/Game,FTM/Game,TOV/Game,PF/Game,STL/Game,BLK/Game
0,20,142901,4294,105056.2,16053,36682,2910,8771,7894,10898,6583,9204,4976,13378,18354,7512,2922,2724,42910,141481,14438.0,15899.0,7210.0,72.0,697.0,0.181274528125584,203.35211267605635,223.92957746478874,24.55723908608674,9.993013507219375,1.7494177922682814,8.542617605961807,3.73847228691197,1.1588262692128553,3.1155100139729854,4.274336283185841,24.46581276199348,0.6776897997205403,2.0426176059618073,2.537959944108058,1.8383791336748951,1.5330693991616209,2.143455985095482,0.6804843968327899,0.6343735444806707
1,21,414404,11804,299212.0000000001,47236,104322,7536,22309,23683,32591,18938,27093,15586,39671,55257,24736,9772,7513,125689,410078,41700.0,45888.0,20819.0,223.0,2051.0,0.15953933440596155,202.4271844660194,222.75728155339806,24.66351523098069,10.648000677736361,2.09556082683836,8.837851575737039,4.001694340901389,1.320399864452728,3.3608098949508642,4.681209759403592,25.348356489325663,0.6384276516435107,1.8899525584547612,2.761013215859031,2.00635377838021,1.6043713995255846,2.295238902067096,0.8278549644188411,0.6364791596069129
2,22,671807,18115,461070.29999999993,75071,163615,12008,34845,37501,50517,28492,41450,23658,61512,85170,39887,14647,10756,199651,664459,67382.0,74441.0,33771.0,367.0,3799.0,0.15995524237055586,201.7425149700599,222.87724550898204,24.84291725852365,11.021308308032017,2.2018768975986753,9.032017664918575,4.14413469500414,1.3059895114545956,3.3956389732266077,4.701628484681203,25.452404085012418,0.6628760695556168,1.923544024289263,2.7886834115374,2.0701628484681205,1.57284018768976,2.2881589842671817,0.8085564449351367,0.5937620756279327
3,23,975243,25121,660350.0999999996,108235,236056,17577,50806,54784,73397,40662,57278,32603,88331,120934,61563,21780,14295,288831,964088,97380.0,107366.0,48706.0,549.0,5725.0,0.16239663694738302,200.7835051546392,221.37319587628866,24.910627215127104,11.497591656383106,2.450658811353051,9.396759683133633,4.308546634290036,1.2978384618446719,3.5162214879980893,4.814059949842761,26.28677600413995,0.699693483539668,2.022451335536006,2.921738784284065,2.1808049042633653,1.6186457545479878,2.2800843915449227,0.8670037020819235,0.5690458182397198
4,24,1204262,30685,799544.3999999999,130883,283962,22783,64191,65597,87324,47288,69504,38464,104008,142472,71999,26182,16850,350146,1189886,120392.0,133840.0,60694.0,687.0,7395.0,0.17407149897236462,200.98831385642737,223.4390651085142,25.082875606109724,11.41098256477106,2.346390744663516,9.254098093531042,4.265373961218836,1.2535114876975721,3.3895388626364675,4.64305035033404,26.056522730976045,0.7424800391070555,2.0919341697897997,2.8458204334365327,2.137754603226332,1.5410787029493238,2.265080658302102,0.853250773993808,0.5491282385530389
5,25,1371153,34520,922341.0999999996,151994,330137,27876,78048,77013,101420,53660,78615,44206,121136,165342,81512,29574,19474,408877,1354103,137010.0,151726.0,68805.0,757.0,8044.0,0.183401976393805,200.89442815249268,222.47214076246334,24.99768788083742,11.844640787949015,2.361297798377752,9.56364426419467,4.403070683661645,1.2805909617612978,3.509154113557358,4.789745075318656,26.71903534183081,0.807531865585168,2.2609501738122826,2.9380069524913095,2.2309675550405563,1.5544611819235226,2.2773754345307067,0.856720741599073,0.5641367323290846
6,26,1377196,33768,913195.1000000004,149628,325718,28391,78538,77746,101229,52845,76407,43333,121402,164735,83150,29374,18801,405396,1359386,137307.0,152400.0,69113.0,749.0,7648.0,0.1897438982008715,200.44817518248175,222.4817518248175,25.111055015312363,12.005330490405118,2.462390428808339,9.645759298744373,4.431058990760484,1.283256337360815,3.5951788675669274,4.878435204927742,27.043209547500606,0.8407664060649135,2.325811419095001,2.9977789623312012,2.302357261312485,1.5649431414356787,2.2627043354655294,0.8698768064439706,0.5567697228144989
7,27,1339099,32075,876365.6,142633,310733,27775,76245,70902,91984,49646,72932,39823,114585,154408,80412,27591,17798,383940,1321117,133804.0,148366.0,67298.0,730.0,7727.0,0.1947305322050297,200.9069069069069,222.77177177177177,25.034458024469256,11.970070148090413,2.5069992205767733,9.687700701480905,4.446858924395947,1.2415588464536242,3.5724084177708497,4.813967264224474,27.32238815276695,0.8659392049883087,2.3770849571317227,2.8677786438035855,2.210506625097428,1.5478098207326578,2.2737957911145754,0.8602026500389711,0.5548869836321122
8,28,1304758,31931,874702.4999999995,143882,314356,28088,77588,73245,95107,50553,72344,39083,113476,152559,83213,27177,17403,389097,1286586,130193.0,144477.0,65521.0,726.0,7228.0,0.19521552383202903,200.6055469953775,222.61479198767336,25.0870701981762,12.185556355892393,2.6060254924681345,9.844852964204065,4.506028624220977,1.2239829632645391,3.5537878550624784,4.777770818327018,27.393520403369752,0.879646738279415,2.4298643951019385,2.978516175503429,2.293852369171025,1.5831950142494755,2.265635276064013,0.8511164698881964,0.5450189471046945
9,29,1180203,28543,791563.8999999998,127979,279507,27561,75135,64247,83055,45368,65371,35095,105794,140889,76886,24704,14757,347765,1163180,117727.0,130508.0,59198.0,642.0,6464.0,0.21535564428539059,200.55706984667802,222.3304940374787,25.07223104665082,12.183897978488597,2.693690221770662,9.792488526083453,4.483726307676138,1.2295484006586554,3.706477945555828,4.936026346214484,27.732330168517667,0.96559576778895,2.632344182461549,2.909820271169814,2.250884630207056,1.5894615142066355,2.290263812493431,0.8655011736677994,0.5170094243772554
