,Season,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,height_cm,weight,weight_kg,draft_round,draft_pick,3PM_ratio,avg_height_cm,avg_weight,avg_BMI,Pts/Game,Ast/Game,FGA/Game,FGM/Game,ORB/Game,DRB/Game,REB/Game,MIN/Game,3PM/Game,3PA/Game,FTA/Game,FTM/Game,TOV/Game,PF/Game,STL/Game,BLK/Game,Type
0,1999 - 2000,15978,433359.0,68465,150579,9080,25235,35754,47235,26951,40371,22125,55654,77779,41507,14384,9466,181764,408047.0,41512.0,45533.0,20646.0,228.0,2084.0,0.13262250785072666,200.54106280193236,219.96618357487924,24.80041527950171,100.66332994122656,22.98713076225485,83.39266058856514,37.91683108000526,12.253120392099852,30.82192823963504,43.075048631734894,27.122230567029664,5.028625227582674,13.975479913882024,26.159373637099957,19.801042553633362,14.925823624293022,22.357998795455963,7.966051241580306,5.242397181090043,Regular Season
1,2000 - 2001,14703,413086.0,64199,143062,8772,24594,34387,45616,24935,36226,20444,53155,73599,38945,13373,9073,171557,376755.0,38394.0,42189.0,19131.0,212.0,1913.0,0.13663764233087744,201.01570680628274,220.8848167539267,24.788161548168656,99.6733852030812,22.62676537089129,83.11799480011426,37.29915804457183,11.877817209975648,30.882673341628617,42.76049055160426,28.095354689519144,5.096469016137076,14.288937412548478,26.502568472424628,19.97860009780046,14.487055964133377,21.047045893591164,7.769616980483484,5.271347854926093,Regular Season
2,2001 - 2002,14588,410006.0,63660,140748,9454,26070,32312,42555,23331,34409,20850,52205,73055,38355,13302,9247,169086,377011.0,38390.0,42357.0,19204.0,208.0,2188.0,0.14850769714106188,200.99476439790575,221.76439790575915,24.887933650886037,98.97572230650283,22.451378760310824,82.38786749462204,37.263844919342645,12.20469944342278,30.55857719155329,42.76327663497607,28.10570331779545,5.533967795593235,15.260264483934382,24.90987936761901,18.914064672224306,13.656970873596972,20.141558904016037,7.7864226377174965,5.412798837090189,Regular Season
3,2002 - 2003,16603,450641.0,68301,153077,9903,28159,35887,46908,26357,39131,22144,57174,79318,40959,14990,9221,182392,428498.0,43740.0,48496.0,21989.0,235.0,2312.0,0.14499055650722537,201.5668202764977,223.48387096774192,24.94064356260724,97.13736655120151,21.81372755696885,81.52493892033792,36.37538528451694,11.793334383689011,30.449426483608907,42.24276086729792,27.14214298620731,5.274087355566848,14.996771265819133,24.982014508222733,19.112508626600775,14.037071637955712,20.840180986639034,7.983294906588615,4.910871403179026,Regular Season
4,2003 - 2004,15129,421324.1,62713,141047,9426,26949,33077,43764,24727,35573,20994,53520,74514,37882,13830,9184,167927,391278.0,39906.0,44372.0,20121.0,218.0,2220.0,0.15030376476966498,201.54545454545453,224.1010101010101,25.01718008904146,95.65671652772771,21.578827320820242,80.34498857292996,35.72337779870651,11.958869668267255,30.48674405285622,42.44561372112348,27.84877387798268,5.369358173434655,15.351032613610284,24.929407076405077,18.841742022352864,14.08530867329925,20.26354533244123,7.878020744600179,5.231507051222563,Regular Season
5,2004 - 2005,16147,433282.0,66160,146457,10877,30110,36702,47992,24391,38313,21335,53393,74728,39305,13539,8566,179902,425054.0,43098.0,47580.0,21576.0,240.0,2322.0,0.16440447400241837,200.45581395348836,221.30232558139534,24.974405546707136,99.64983544204468,21.77150216256387,81.12425625804903,36.64680277509797,11.817707636135358,29.575011193633706,41.392718829769066,26.83359137920357,6.024898334110349,16.678283427421402,26.583333717994286,20.329669822425117,13.5104620085764,21.222021685645835,7.4994114687432205,4.744808231128919,Regular Season
6,2005 - 2006,15290,433153.29999999976,66432,145385,11334,31048,36832,48680,24378,37688,18711,52491,71202,38700,12756,7687,181030,399626.0,40478.0,44707.0,20275.0,219.0,2112.0,0.170610549132948,200.3861386138614,221.32178217821783,24.996208593536785,100.30444186850251,21.442754793741628,80.55439032785857,36.80840016686935,10.36732260841601,29.084021753961025,39.451344362377036,28.329189012426408,6.279901365174874,17.202962553904136,26.972436779311174,20.40774016958893,13.507273291003447,20.88202952626704,7.067797936665845,4.259184912131573,Regular Season
7,2006 - 2007,15168,416114.49999999994,64478,139547,11093,30428,34822,45986,25073,36493,18311,51071,69382,37931,12512,7838,174871,397853.0,40306.0,44530.0,20199.0,219.0,2239.0,0.1720431775179131,200.5273631840796,221.54228855721394,24.991166359171423,100.8593548170035,21.877247728690065,80.48573169163777,37.1886103464311,10.56113161161171,29.455930999760888,40.017062611372594,27.43370912447257,6.398046691475544,17.549784975048937,26.523084391435532,20.084087432665772,14.461211998139937,21.04786062490012,7.216475273031822,4.5206788035504655,Regular Season
8,2007 - 2008,16487,444197.00000000006,71030,153165,12618,34216,36448,47681,24512,37151,20754,57390,78144,40189,13445,8858,191126,429771.0,43637.0,48370.0,21943.0,231.0,2533.0,0.1776432493312685,201.0921658986175,222.90322580645162,25.00610012058112,103.26553308554536,21.714149352652086,82.7551739430928,38.37756671026594,11.213403062154853,31.00786362807493,42.22126669022978,26.942257536240678,6.817515651839161,18.486932599724895,25.762083039732367,19.692884013174332,13.243853515444723,20.072715484345906,7.264344423757926,4.785984596924337,Regular Season
9,2008 - 2009,15985,438715.0999999997,69325,149348,12674,33928,36163,46525,24341,36625,19338,55071,74409,39603,13148,8563,187487,420113.0,42519.0,47252.0,21435.0,236.0,2392.0,0.18282005048683736,200.56132075471697,222.88679245283018,25.135832004029428,102.56514991163976,21.664902803664624,81.70113132645771,37.924384184633745,10.57889277118568,30.126704095664838,40.70559686685052,27.445423834845148,6.933337831316957,18.560382352921078,25.451597175479048,19.78304371105532,13.31579423639625,20.035781763609247,7.192640508612542,4.684406805236477,Regular Season
