"","stat_name","stat_label"
"1","Average Player Minutes Played per Game","MIN/Game"
"2","Field Goals Made per Game","FGM/Game"
"3","Field Goals Attempted per Game","FGA/Game"
"4","3-Pointers Made per Game","3PM/Game"
"5","3-Pointers Attempted per Game","3PA/Game"
"6","Free-throws Made per Game","FTM/Game"
"7","Free-throws Attempted per Game","FTA/Game"
"8","Turnovers per Game","TOV/Game"
"9","Personal Fouls per Game","PF/Game"
"10","Offensive Rebounds per Game","ORB/Game"
"11","Defensive Rebounds per Game","DRB/Game"
"12","Total Rebounds per Game","REB/Game"
"13","Assists per Game","Ast/Game"
"14","Steals per Game","STL/Game"
"15","Blocks per Game","BLK/Game"
"16","Points per Game","Pts/Game"
"17","Average Player Weight (lbs)","avg_weight"
"18","Average Player Height (cm)","avg_height_cm"
"19","Average Player Body Mass Index","avg_BMI"
"20","Ratio of Field Goals That Are 3-pointers","3PM_ratio"
